timestamp,time for refresh
2019-10-18_1600,0:02:02.475002
2019-10-18_1700,0:02:02.564520
2019-10-18_1800,0:02:04.380475
2019-10-18_1900,0:02:03.021639
2019-10-18_2000,0:02:02.084263
2019-10-19_1900,0:02:02.589671
2019-10-19_2000,0:02:02.800325
2019-10-19_2100,0:02:02.968478
2019-10-19_2200,0:02:03.058755
2019-10-19_2300,0:02:02.718608
2019-10-20_0000,0:02:02.908651
2019-10-20_0100,0:02:02.763346
2019-10-20_0200,0:02:03.182415
2019-10-20_0300,0:02:02.909205
2019-10-20_0400,0:02:02.660882
2019-10-20_0500,0:02:02.287553
2019-10-20_0600,0:02:02.262820
2019-10-20_0700,0:02:02.939471
2019-10-20_0800,0:02:02.105818
2019-10-20_0900,0:02:03.350636
2019-10-20_1000,0:02:03.097979
2019-10-20_1100,0:02:02.765062
2019-10-20_1200,0:02:02.689884
2019-10-20_1300,0:02:02.477741
2019-10-20_1400,0:02:01.510152
2019-10-20_1500,0:02:01.184447
2019-10-20_1600,0:02:01.112628
2019-10-20_1700,0:02:01.126550
2019-10-20_1800,0:02:03.024210
2019-10-20_1900,0:02:02.529803
2019-10-21_0900,0:02:02.323328
2019-10-21_1000,0:02:00.878340
2019-10-21_1100,0:02:02.341911
2019-10-21_1200,0:02:02.582579
2019-10-21_1300,0:02:02.474845
2019-10-21_1400,0:02:02.781789
2019-10-21_1500,0:02:02.193059
2019-10-22_1400,0:02:03.142365
2019-10-22_1500,0:02:02.555532
2019-10-22_1600,0:02:02.641327
2019-10-22_1700,0:02:02.790256
2019-10-22_1800,0:02:03.008792
2019-10-22_1900,0:02:02.835220
2019-10-22_2000,0:02:02.608641
2019-10-22_2100,0:02:02.734686
2019-10-22_2200,0:02:02.644890
2019-10-22_2300,0:02:02.518349
2019-10-23_0000,0:02:03.139773
2019-10-23_0800,0:02:02.635888
2019-10-23_0900,0:02:04.397853
2019-10-23_1000,0:02:02.460179
2019-10-23_1100,0:02:03.355351
2019-10-23_1200,0:02:02.873992
2019-10-23_1300,0:02:02.823392
2019-10-23_1400,0:02:02.901804
2019-10-23_1500,0:02:02.620395
2019-10-23_1600,0:02:03.384954
2019-10-23_1700,0:02:02.220065
2019-10-23_1800,0:02:02.352527
2019-10-23_1900,0:02:02.375811
2019-10-23_2000,0:02:02.726015
2019-10-23_2100,0:02:02.093607
2019-10-23_2200,0:02:02.249407
2019-10-23_2300,0:02:02.538559
2019-10-24_0000,0:02:02.506604
2019-10-24_0100,0:02:02.362775
2019-10-24_0200,0:02:02.841049
2019-10-24_0300,0:02:02.293829
2019-10-24_0400,0:02:02.049604
2019-10-24_0500,0:02:02.234847
2019-10-24_0600,0:02:01.850859
2019-10-24_0700,0:02:02.657773
2019-10-24_0800,0:02:02.064524
